correo001,A,M,2014-01-13,NULL
correo002,A,H,2016-07-31,NULL
correo003,A,H,1993-10-11,NULL
correo004,A,M,2002-05-25,NULL
correo005,A,H,2018-07-30,NULL
correo006,A,M,1994-01-26,NULL
correo007,A,M,2003-06-18,NULL
correo008,A,M,2013-01-22,NULL
correo009,A,M,2013-04-10,NULL
correo010,A,H,2001-04-19,NULL
correo011,A,H,2000-09-21,NULL
correo012,A,M,2010-02-28,NULL
correo013,A,M,2020-09-15,NULL
correo014,A,M,1998-01-04,NULL
correo015,A,H,2007-06-16,NULL
correo016,A,H,2019-04-18,NULL
correo017,A,H,2016-11-03,NULL
correo018,A,H,2013-12-06,NULL
correo019,A,H,2012-07-14,NULL
correo020,A,M,2014-10-21,NULL
correo021,A,H,2018-01-15,NULL
correo022,A,H,2008-04-05,NULL
correo023,A,H,2012-11-11,NULL
correo024,A,M,2014-09-19,NULL
correo025,A,M,2019-02-13,NULL
correo026,A,M,2008-08-22,NULL
correo027,A,H,2002-04-05,NULL
correo028,A,H,2008-12-18,NULL
correo029,A,H,1996-04-18,NULL
correo030,A,M,1998-06-21,NULL
correo031,A,M,2015-07-31,NULL
correo032,A,H,2017-04-28,NULL
correo033,A,H,2005-10-18,NULL
correo034,A,H,2014-07-21,NULL
correo035,A,H,2007-11-13,NULL
correo036,A,H,NULL,NULL
correo037,A,H,2012-11-24,NULL
correo038,A,M,2013-10-10,NULL
correo039,A,H,2017-07-21,NULL
correo040,A,H,2018-06-17,NULL
correo041,A,H,1992-07-20,NULL
correo042,A,M,2011-08-24,NULL
correo043,A,H,2020-02-12,NULL
correo044,A,H,2018-06-26,NULL
correo045,A,H,2008-01-02,NULL
correo046,A,M,2017-03-05,NULL
correo047,A,H,2012-01-04,NULL
correo048,A,H,2009-03-26,NULL
correo049,A,M,2016-08-20,NULL
correo050,A,H,2015-05-10,NULL
correo051,A,H,2011-11-02,NULL
correo052,A,M,2018-06-17,NULL
correo053,A,H,2007-02-08,NULL
correo054,A,M,2016-07-30,NULL
correo055,A,M,2018-09-12,NULL
correo056,A,H,2018-12-08,NULL
correo057,A,H,2018-06-30,NULL
correo058,A,H,2006-08-24,NULL
correo059,A,H,2003-06-06,NULL
correo060,A,M,2011-02-02,NULL
correo061,A,H,2016-06-16,NULL
correo062,A,M,1998-08-19,NULL
correo063,A,M,1998-05-27,NULL
correo064,A,M,2019-05-02,NULL
correo065,A,M,1999-05-28,NULL
correo066,A,H,2009-04-19,NULL
correo067,A,H,2019-11-09,NULL
correo068,A,H,2013-08-30,NULL
correo069,A,H,2020-10-11,NULL
correo070,A,H,2011-09-10,NULL
correo071,A,H,2015-07-10,NULL
correo072,A,M,2001-10-08,NULL
correo073,A,M,2013-02-11,NULL
correo074,A,M,2007-03-16,NULL
correo075,A,M,2005-08-29,NULL
correo076,A,H,2020-08-27,NULL
correo077,A,H,2020-07-07,NULL
correo078,A,H,2019-02-27,NULL
correo079,A,M,2012-09-19,NULL
correo080,A,M,2015-12-08,NULL
correo081,A,M,2011-05-27,NULL
correo082,A,M,2017-06-07,NULL
correo083,A,H,2019-01-18,NULL
correo084,A,H,2004-03-01,NULL
correo085,A,M,2011-08-26,NULL
correo086,A,M,2017-06-02,NULL
correo087,A,H,2013-10-28,NULL
correo088,A,H,2004-02-14,NULL
correo089,A,H,2008-01-06,NULL
correo090,A,H,2019-12-25,NULL
correo091,A,M,1999-03-24,NULL
correo092,A,M,2008-06-12,NULL
correo093,A,M,2010-10-05,NULL
correo094,A,M,2020-08-14,NULL
correo095,A,M,2013-09-01,NULL
correo096,A,M,2020-03-01,NULL
correo097,A,H,2001-08-03,NULL
correo098,A,M,2020-03-12,NULL
correo099,A,H,2017-07-16,NULL
correo100,A,H,2018-10-07,NULL
correo101,A,M,2015-12-22,NULL
correo102,A,M,2015-12-07,NULL
correo103,A,M,2011-10-03,NULL